,Cluster,age,Years_Enrolled,age_divide,Recency,Income,Total_Expenses,Savings,economic_status,Qualification,togetherness,family,children,Kidhome,MntWines,Teenhome,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Ttl_Campaign,Ttl_no_Purchase,Deals_Purchase_Ratio,Store_Purchase_Ratio,Web_Purchase_Ratio,Catalogue_Purchase_Ratio,avg_web_visits,Ttl_place_purchase
1160,Lowest,55,11,MiddleAge,not frequent,35322.0,115,35207.0,Lower middle,Graduate,yes,yes,3,1,28,2,9,37,12,7,13,3,2,0,4,8,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.6666666666666666,9
1161,Upper middle class,75,10,Elderly,frequent,77142.0,1065,76077.0,Upper middle,Graduate,yes,no,0,0,476,0,75,162,29,151,97,1,4,4,8,2,no,no,no,no,no,no,no,0,17,0.058823529411764705,0.47058823529411764,0.23529411764705882,0.23529411764705882,0.16666666666666666,17
1162,Upper middle class,54,9,MiddleAge,frequent,81657.0,1137,80520.0,Upper middle,Graduate,no,no,0,0,364,0,40,425,158,60,50,1,3,4,8,1,no,no,no,no,no,no,no,0,16,0.0625,0.5,0.1875,0.25,0.08333333333333333,16
1163,Lowest,27,9,Young,frequent,14421.0,16,14405.0,Low,Undergraduate,yes,no,0,0,0,0,0,2,3,3,8,1,1,0,2,5,yes,no,no,no,no,no,no,1,4,0.25,0.5,0.25,0.0,0.4166666666666667,4
1164,Lowest,49,9,MiddleAge,frequent,20130.0,40,20090.0,Low,Graduate,yes,no,0,0,0,0,6,3,7,6,12,1,1,0,3,8,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.6666666666666666,5
1165,Upper middle class,33,11,Young,not frequent,74214.0,1794,72420.0,Upper middle,Post graduate,yes,no,0,0,863,0,83,547,86,99,33,1,8,2,5,5,no,no,no,no,no,no,no,0,16,0.0625,0.3125,0.5,0.125,0.4166666666666667,16
1166,Low,66,9,Elderly,frequent,66726.0,445,66281.0,Upper middle,Post graduate,yes,yes,2,1,349,1,7,35,0,0,47,3,8,2,4,7,no,yes,no,no,no,no,no,1,17,0.17647058823529413,0.23529411764705882,0.47058823529411764,0.11764705882352941,0.5833333333333334,17
1167,Lowest,44,10,Young,frequent,23724.0,98,23626.0,Low,Undergraduate,yes,yes,1,1,5,0,23,15,0,18,14,2,2,0,3,8,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.6666666666666666,7
1168,Lowest,63,10,MiddleAge,frequent,47353.0,227,47126.0,Lower middle,Post graduate,yes,yes,1,0,184,1,2,19,8,8,4,3,2,2,6,5,no,no,no,no,no,no,no,0,13,0.23076923076923078,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.4166666666666667,13
1169,Lowest,71,11,Elderly,not frequent,33444.0,18,33426.0,Lower middle,Post graduate,yes,yes,2,1,8,1,0,8,0,0,2,1,1,0,2,8,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.6666666666666666,4
1170,Highest economic class,42,10,Young,not frequent,54386.0,491,53895.0,Lower middle,Graduate,yes,yes,1,0,277,1,21,64,62,21,25,2,3,2,10,3,no,no,no,no,no,no,no,0,17,0.11764705882352941,0.5882352941176471,0.17647058823529413,0.11764705882352941,0.25,17
1171,Lowest,42,10,Young,frequent,28510.0,96,28414.0,Lower middle,Graduate,no,no,2,1,44,1,5,19,0,4,19,3,2,0,4,5,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.4166666666666667,9
1172,Upper middle class,32,9,Young,not frequent,90638.0,2645,87993.0,High,Post graduate,no,no,0,0,1156,0,120,915,94,144,96,1,3,4,10,1,no,no,yes,no,no,no,no,1,18,0.05555555555555555,0.5555555555555556,0.16666666666666666,0.2222222222222222,0.08333333333333333,18
1173,Low,73,10,Elderly,not frequent,48070.0,518,47552.0,Lower middle,Graduate,yes,yes,1,0,373,1,14,83,6,9,19,3,8,2,6,7,no,no,no,no,no,yes,no,0,19,0.15789473684210525,0.3157894736842105,0.42105263157894735,0.10526315789473684,0.5833333333333334,19
1174,Lowest,66,10,Elderly,frequent,43140.0,243,42897.0,Lower middle,Graduate,yes,yes,1,0,134,1,8,76,6,0,11,1,4,1,5,6,no,no,no,no,no,no,no,0,11,0.09090909090909091,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.5,11
1175,Low,62,10,MiddleAge,frequent,54959.0,1232,53727.0,Lower middle,Post graduate,no,no,1,0,1148,1,0,60,0,0,24,3,9,5,4,7,no,yes,no,no,no,no,yes,1,21,0.14285714285714285,0.19047619047619047,0.42857142857142855,0.23809523809523808,0.5833333333333334,21
1176,Lowest,65,10,Elderly,frequent,15056.0,100,14956.0,Low,Undergraduate,no,no,2,1,6,1,12,3,21,6,40,5,2,2,3,5,no,no,no,no,no,no,no,0,12,0.4166666666666667,0.25,0.16666666666666666,0.16666666666666666,0.4166666666666667,12
1177,Lowest,52,9,MiddleAge,not frequent,26954.0,18,26936.0,Low,Graduate,no,no,1,1,4,0,1,11,0,0,1,1,1,0,2,7,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.5833333333333334,4
1178,Lowest,38,10,Young,frequent,22327.0,28,22299.0,Low,Graduate,no,no,1,1,5,0,4,8,2,0,5,1,1,0,3,5,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.4166666666666667,5
1179,Lowest,58,10,MiddleAge,frequent,44393.0,62,44331.0,Lower middle,Graduate,yes,yes,2,1,24,1,2,20,2,2,10,2,1,0,4,4,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,0.3333333333333333,7
1180,Highest economic class,71,10,Elderly,not frequent,62000.0,1020,60980.0,Upper middle,Post graduate,no,no,1,0,899,1,0,101,0,0,20,1,6,6,13,4,no,no,no,yes,no,no,no,1,26,0.038461538461538464,0.5,0.23076923076923078,0.23076923076923078,0.3333333333333333,26
1181,Lowest,61,11,MiddleAge,not frequent,31497.0,156,31341.0,Lower middle,Post graduate,yes,yes,1,0,108,1,1,28,13,1,4,2,3,1,4,8,no,no,no,no,no,no,no,0,10,0.2,0.4,0.3,0.1,0.6666666666666666,10
1182,Lowest,49,9,MiddleAge,not frequent,45894.0,53,45841.0,Lower middle,Graduate,yes,yes,2,0,27,2,2,7,0,2,13,1,1,0,3,5,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.4166666666666667,5
1183,Upper middle class,53,11,MiddleAge,not frequent,78579.0,1878,76701.0,Upper middle,Post graduate,no,no,0,0,816,0,66,549,216,66,99,1,5,6,4,3,no,no,no,no,no,no,yes,0,16,0.0625,0.25,0.3125,0.375,0.25,16
1184,Lower middle,54,11,MiddleAge,frequent,67369.0,1461,65908.0,Upper middle,Post graduate,no,no,1,0,1298,1,0,70,37,14,42,4,7,4,10,4,no,yes,yes,no,no,no,yes,2,25,0.16,0.4,0.28,0.16,0.3333333333333333,25
1185,Lowest,63,9,MiddleAge,frequent,58401.0,96,58305.0,Upper middle,Graduate,no,no,1,0,10,1,0,11,17,29,29,1,1,2,2,4,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,6
1186,Lowest,71,9,Elderly,frequent,62307.0,173,62134.0,Upper middle,Graduate,no,no,1,0,87,1,13,34,10,6,10,1,4,0,4,5,no,no,no,no,no,no,no,0,9,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.0,0.4166666666666667,9
1187,Lowest,54,10,MiddleAge,frequent,43641.0,141,43500.0,Lower middle,Post graduate,yes,yes,2,1,57,1,2,51,4,2,23,3,2,1,4,6,no,no,no,no,no,no,no,0,10,0.3,0.4,0.2,0.1,0.5,10
1188,Highest economic class,55,10,MiddleAge,frequent,63841.0,923,62918.0,Upper middle,Post graduate,no,no,1,0,635,1,15,100,20,7,131,1,9,3,9,6,no,no,no,no,no,no,no,0,22,0.045454545454545456,0.4090909090909091,0.4090909090909091,0.13636363636363635,0.5,22
1189,Lowest,58,10,MiddleAge,frequent,46891.0,195,46696.0,Lower middle,Graduate,yes,yes,1,0,43,1,12,23,29,15,61,1,2,1,4,4,no,no,no,no,no,no,no,0,8,0.125,0.5,0.25,0.125,0.3333333333333333,8
1190,Low,54,10,MiddleAge,not frequent,70091.0,1195,68896.0,Upper middle,Post graduate,yes,yes,1,1,964,0,34,137,15,0,11,2,5,2,10,8,no,yes,no,no,no,no,no,1,19,0.10526315789473684,0.5263157894736842,0.2631578947368421,0.10526315789473684,0.6666666666666666,19
1191,Highest economic class,51,9,MiddleAge,frequent,78075.0,996,77079.0,Upper middle,Post graduate,yes,no,0,0,572,0,8,259,34,35,80,1,3,5,5,1,no,no,no,no,no,no,no,0,14,0.07142857142857142,0.35714285714285715,0.21428571428571427,0.35714285714285715,0.08333333333333333,14
1192,Upper middle class,62,11,MiddleAge,not frequent,59184.0,1214,57970.0,Upper middle,Graduate,no,no,1,0,341,1,142,113,259,151,66,3,6,6,12,5,no,no,no,no,no,no,no,0,27,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.4166666666666667,27
1193,Lowest,46,10,MiddleAge,not frequent,54809.0,180,54629.0,Lower middle,Graduate,yes,yes,2,1,63,1,6,57,13,13,22,4,2,1,5,4,no,no,no,no,no,no,no,0,12,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.3333333333333333,12
1194,Highest economic class,64,10,Elderly,frequent,58113.0,862,57251.0,Upper middle,Graduate,yes,yes,1,0,221,1,104,169,102,78,84,3,9,2,8,7,no,no,no,no,no,yes,no,0,22,0.13636363636363635,0.36363636363636365,0.4090909090909091,0.09090909090909091,0.5833333333333334,22
1195,Lowest,65,10,Elderly,not frequent,51412.0,198,51214.0,Lower middle,Post graduate,yes,yes,1,0,140,1,3,29,4,5,14,2,3,2,4,4,no,no,no,no,no,no,no,0,11,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.3333333333333333,11
1196,Lowest,44,11,Young,frequent,15287.0,33,15254.0,Low,Graduate,no,no,1,1,1,0,2,8,4,3,13,2,1,1,2,7,yes,no,no,no,no,no,yes,1,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5833333333333334,6
1197,Highest economic class,66,10,Elderly,frequent,66636.0,1094,65542.0,Upper middle,Post graduate,yes,no,0,0,291,0,10,689,84,10,0,1,3,4,9,1,no,no,no,no,no,no,no,0,17,0.058823529411764705,0.5294117647058824,0.17647058823529413,0.23529411764705882,0.08333333333333333,17
1198,Low,67,10,Elderly,frequent,50965.0,698,50267.0,Lower middle,Post graduate,yes,yes,1,0,544,1,13,85,8,6,29,3,10,4,5,8,yes,no,no,no,no,no,no,1,22,0.13636363636363635,0.22727272727272727,0.45454545454545453,0.18181818181818182,0.6666666666666666,22
1199,Upper middle class,58,10,MiddleAge,frequent,84618.0,1772,82846.0,Upper middle,Post graduate,yes,no,0,0,684,0,100,801,21,66,0,1,6,9,10,2,no,no,yes,no,no,no,no,1,26,0.038461538461538464,0.38461538461538464,0.23076923076923078,0.34615384615384615,0.16666666666666666,26
1200,Lowest,33,10,Young,not frequent,18351.0,55,18296.0,Low,Graduate,yes,no,0,0,1,0,12,9,0,14,7,1,2,0,3,7,no,no,no,no,no,no,no,0,6,0.16666666666666666,0.5,0.3333333333333333,0.0,0.5833333333333334,6
1201,Lowest,66,9,Elderly,frequent,40451.0,49,40402.0,Lower middle,Post graduate,yes,yes,2,0,35,2,0,4,0,0,10,1,1,1,2,5,yes,no,no,no,no,no,no,1,5,0.2,0.4,0.2,0.2,0.4166666666666667,5
1202,Lowest,58,10,MiddleAge,frequent,36317.0,136,36181.0,Lower middle,Graduate,yes,yes,1,0,87,1,3,25,3,2,13,2,3,0,4,7,no,no,no,no,no,no,no,0,9,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.0,0.5833333333333334,9
1203,Low,66,10,Elderly,frequent,42213.0,366,41847.0,Lower middle,Graduate,yes,yes,1,0,309,1,3,24,4,3,20,2,5,1,7,7,no,yes,no,no,no,no,no,1,15,0.13333333333333333,0.4666666666666667,0.3333333333333333,0.06666666666666667,0.5833333333333334,15
1204,Highest economic class,68,10,Elderly,frequent,65748.0,618,65130.0,Upper middle,Graduate,yes,yes,1,0,172,1,73,93,95,78,34,2,2,4,10,1,no,no,no,no,no,yes,no,0,18,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.08333333333333333,18
1205,Highest economic class,51,10,MiddleAge,not frequent,77044.0,1103,75941.0,Upper middle,Graduate,yes,yes,1,0,625,1,38,242,50,34,76,2,7,11,11,4,yes,no,no,no,no,no,no,1,31,0.06451612903225806,0.3548387096774194,0.22580645161290322,0.3548387096774194,0.3333333333333333,31
1206,Upper middle class,54,10,MiddleAge,frequent,74918.0,2106,72812.0,Upper middle,Graduate,yes,no,0,0,972,0,59,913,25,19,59,1,5,9,6,3,no,no,yes,no,no,no,no,1,21,0.047619047619047616,0.2857142857142857,0.23809523809523808,0.42857142857142855,0.25,21
1207,Low,51,11,MiddleAge,frequent,56721.0,302,56419.0,Lower middle,Graduate,yes,yes,2,1,157,1,6,39,6,13,75,5,4,1,5,6,no,no,no,no,no,no,no,0,15,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.5,15
1208,Lowest,48,10,MiddleAge,not frequent,42160.0,149,42011.0,Lower middle,Graduate,no,no,2,1,48,1,9,45,3,15,20,4,2,1,4,6,no,no,no,no,no,no,yes,0,11,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.5,11
1209,Highest economic class,58,10,MiddleAge,not frequent,61559.0,613,60946.0,Upper middle,Graduate,no,no,1,0,279,1,83,88,32,14,34,1,4,2,10,3,no,no,no,no,no,no,no,0,17,0.058823529411764705,0.5882352941176471,0.23529411764705882,0.11764705882352941,0.25,17
1210,Lowest,60,11,MiddleAge,not frequent,33629.0,152,33477.0,Lower middle,Post graduate,yes,yes,2,1,132,1,0,16,0,0,4,5,3,1,4,9,no,no,no,no,no,no,no,0,13,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.75,13
1211,Upper middle class,32,10,Young,frequent,68682.0,1598,67084.0,Upper middle,Post graduate,yes,no,0,0,919,0,0,505,99,30,45,1,4,9,10,2,no,no,no,no,no,no,no,0,24,0.041666666666666664,0.4166666666666667,0.16666666666666666,0.375,0.16666666666666666,24
1212,Lowest,60,10,MiddleAge,frequent,34377.0,114,34263.0,Lower middle,Graduate,no,no,1,0,62,1,0,22,3,1,26,2,2,2,2,7,no,no,no,no,no,no,no,0,8,0.25,0.25,0.25,0.25,0.5833333333333334,8
1213,Lowest,37,11,Young,not frequent,8940.0,146,8794.0,Low,Undergraduate,no,no,1,1,1,0,45,3,4,6,42,3,3,1,3,8,no,no,no,no,no,no,no,0,10,0.3,0.3,0.3,0.1,0.6666666666666666,10
1214,Lowest,50,10,MiddleAge,frequent,26228.0,31,26197.0,Low,Graduate,yes,yes,1,1,2,0,6,4,3,1,9,1,1,0,2,8,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.6666666666666666,4
1215,Upper middle class,66,10,Elderly,frequent,77297.0,850,76447.0,Upper middle,Graduate,no,no,0,0,408,0,61,109,48,122,41,1,5,7,9,4,no,no,no,yes,no,no,no,1,22,0.045454545454545456,0.4090909090909091,0.22727272727272727,0.3181818181818182,0.3333333333333333,22
1216,Lowest,42,10,Young,not frequent,40211.0,88,40123.0,Lower middle,Graduate,yes,yes,2,1,51,1,1,7,2,1,25,2,2,1,2,8,yes,no,no,no,no,no,no,1,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.6666666666666666,7
1217,Lowest,65,10,Elderly,frequent,33438.0,91,33347.0,Lower middle,Post graduate,no,no,2,1,62,1,1,16,3,2,6,4,2,1,4,5,no,no,no,no,no,no,no,0,11,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.4166666666666667,11
1218,Highest economic class,64,10,Elderly,frequent,75032.0,1227,73805.0,Upper middle,Post graduate,yes,yes,1,0,952,1,12,180,47,12,12,2,5,4,9,3,no,no,no,no,no,no,no,0,20,0.1,0.45,0.25,0.2,0.25,20
1219,Low,68,10,Elderly,frequent,61284.0,826,60458.0,Upper middle,Post graduate,no,no,0,0,618,0,15,106,20,7,45,1,11,2,8,6,no,yes,no,no,no,no,no,1,22,0.045454545454545456,0.36363636363636365,0.5,0.09090909090909091,0.5,22
1220,Lowest,37,11,Young,not frequent,22518.0,68,22450.0,Low,Graduate,yes,yes,1,1,11,0,7,12,2,2,27,2,2,1,2,5,yes,no,no,no,no,no,yes,1,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.4166666666666667,7
1221,Low,48,10,MiddleAge,frequent,54730.0,408,54322.0,Lower middle,Post graduate,yes,yes,1,0,318,1,3,17,4,7,56,5,4,1,8,4,no,no,no,no,no,no,no,0,18,0.2777777777777778,0.4444444444444444,0.2222222222222222,0.05555555555555555,0.3333333333333333,18
1222,Lowest,68,9,Elderly,frequent,38452.0,72,38380.0,Lower middle,Post graduate,yes,yes,2,1,56,1,0,14,0,0,2,3,3,0,3,7,no,no,no,no,no,no,no,0,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5833333333333334,9
1223,Lowest,52,10,MiddleAge,frequent,44421.0,194,44227.0,Lower middle,Graduate,no,no,2,1,110,1,5,59,7,1,7,5,5,0,4,8,no,no,no,no,no,no,no,0,14,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.0,0.6666666666666666,14
1224,Lowest,37,10,Young,frequent,38197.0,40,38157.0,Lower middle,Post graduate,yes,yes,1,1,23,0,0,11,2,1,3,1,1,0,3,5,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.4166666666666667,5
1225,Lowest,45,9,Young,not frequent,41986.0,68,41918.0,Lower middle,Graduate,no,no,1,0,27,1,5,8,8,3,12,3,3,0,4,4,no,no,no,no,no,no,no,0,10,0.3,0.4,0.3,0.0,0.3333333333333333,10
1226,Lowest,40,10,Young,frequent,28427.0,55,28372.0,Low,Graduate,yes,yes,1,1,18,0,3,19,3,3,6,2,2,0,3,8,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.6666666666666666,7
1227,Lowest,47,9,MiddleAge,not frequent,37395.0,39,37356.0,Lower middle,Post graduate,yes,yes,1,1,18,0,0,9,0,1,11,1,1,0,3,6,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.5,5
1228,Highest economic class,52,9,MiddleAge,not frequent,64722.0,805,63917.0,Upper middle,Graduate,yes,yes,1,1,303,0,0,280,60,147,15,4,8,2,11,6,no,no,no,no,no,no,no,0,25,0.16,0.44,0.32,0.08,0.5,25
1229,Lowest,67,9,Elderly,frequent,55249.0,131,55118.0,Lower middle,Post graduate,yes,yes,1,0,97,1,1,19,2,0,11,1,2,1,4,3,no,no,no,no,no,no,no,0,8,0.125,0.5,0.25,0.125,0.25,8
1230,Lower middle,51,10,MiddleAge,frequent,84906.0,1646,83260.0,Upper middle,Graduate,yes,no,0,0,997,0,15,414,99,30,76,1,5,6,12,2,no,yes,yes,no,yes,no,no,3,24,0.041666666666666664,0.5,0.20833333333333334,0.25,0.16666666666666666,24
1231,Lowest,34,10,Young,frequent,28691.0,38,28653.0,Lower middle,Graduate,yes,yes,1,1,5,0,4,13,8,0,4,1,1,0,3,8,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.6666666666666666,5
1232,Lowest,71,10,Elderly,not frequent,44213.0,163,44050.0,Lower middle,Graduate,no,no,2,1,95,1,11,35,0,4,7,4,2,1,5,6,no,no,no,no,no,no,no,0,12,0.3333333333333333,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.5,12
1233,Lowest,39,9,Young,not frequent,25707.0,27,25680.0,Low,Undergraduate,no,no,1,1,1,0,6,2,3,6,3,1,1,0,3,7,no,no,no,no,no,no,no,0,5,0.2,0.6,0.2,0.0,0.5833333333333334,5
1234,Lowest,56,10,MiddleAge,frequent,59062.0,72,58990.0,Upper middle,Post graduate,yes,yes,3,2,46,1,1,12,3,0,9,2,2,0,3,4,no,no,no,no,no,no,no,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.3333333333333333,7
1235,Upper middle class,61,9,MiddleAge,frequent,76624.0,1005,75619.0,Upper middle,Graduate,no,no,1,0,411,1,106,147,54,115,66,1,5,10,7,1,yes,no,no,no,no,no,no,1,23,0.043478260869565216,0.30434782608695654,0.21739130434782608,0.43478260869565216,0.08333333333333333,23
1236,Highest economic class,76,9,Elderly,not frequent,66000.0,762,65238.0,Upper middle,Post graduate,yes,no,0,0,244,0,51,270,101,0,45,1,1,3,5,1,no,no,no,no,no,no,no,0,10,0.1,0.5,0.1,0.3,0.08333333333333333,10
1237,Low,45,11,Young,frequent,27683.0,360,27323.0,Low,Post graduate,yes,yes,1,1,152,0,9,121,12,12,45,4,6,2,4,8,no,no,no,no,no,no,no,0,16,0.25,0.25,0.375,0.125,0.6666666666666666,16
1238,Lowest,52,9,MiddleAge,frequent,1730.0,9,1721.0,Extremly low,Graduate,no,no,0,0,1,0,1,3,1,1,1,15,0,0,0,20,no,no,no,no,no,no,no,0,15,1.0,0.0,0.0,0.0,1.6666666666666667,15
1239,Lowest,31,11,Young,frequent,7500.0,136,7364.0,Low,Undergraduate,no,no,1,1,10,0,17,18,8,26,40,4,3,2,2,9,no,no,no,no,no,no,no,0,11,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.75,11
1240,Lowest,55,10,MiddleAge,frequent,40521.0,21,40500.0,Lower middle,Graduate,yes,yes,2,1,12,1,0,5,0,0,4,1,0,1,2,5,no,no,no,no,no,no,no,0,4,0.25,0.5,0.0,0.25,0.4166666666666667,4
1241,Lowest,50,9,MiddleAge,frequent,20427.0,10,20417.0,Low,Post graduate,yes,yes,1,1,5,0,0,4,0,0,1,1,1,0,2,8,no,no,no,no,no,no,no,0,4,0.25,0.5,0.25,0.0,0.6666666666666666,4
1242,Low,48,9,MiddleAge,frequent,65106.0,992,64114.0,Upper middle,Graduate,yes,yes,1,0,790,1,19,133,12,0,19,3,8,3,13,6,no,yes,no,no,no,no,no,1,27,0.1111111111111111,0.48148148148148145,0.2962962962962963,0.1111111111111111,0.5,27
1243,Lower middle,58,10,MiddleAge,frequent,69969.0,1565,68404.0,Upper middle,Post graduate,yes,no,0,0,882,0,29,514,38,29,44,1,4,2,6,3,no,no,yes,yes,no,no,yes,2,13,0.07692307692307693,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.25,13
1244,Highest economic class,71,10,Elderly,frequent,67433.0,1020,66413.0,Upper middle,Graduate,yes,yes,2,0,615,2,28,259,12,48,30,4,6,5,13,4,no,yes,no,no,no,no,no,1,28,0.14285714285714285,0.4642857142857143,0.21428571428571427,0.17857142857142858,0.3333333333333333,28
1245,Lower middle,56,10,MiddleAge,frequent,77766.0,1588,76178.0,Upper middle,Post graduate,yes,yes,1,0,1004,1,59,265,115,59,27,2,11,10,11,6,yes,no,no,no,no,no,yes,1,34,0.058823529411764705,0.3235294117647059,0.3235294117647059,0.29411764705882354,0.5,34
1246,Highest economic class,51,10,MiddleAge,frequent,74716.0,887,73829.0,Upper middle,Graduate,yes,yes,1,0,133,1,27,421,13,195,71,2,7,3,5,4,no,no,no,no,no,no,no,0,17,0.11764705882352941,0.29411764705882354,0.4117647058823529,0.17647058823529413,0.3333333333333333,17
1247,Highest economic class,60,10,MiddleAge,frequent,68118.0,951,67167.0,Upper middle,Graduate,no,no,1,0,595,1,23,123,10,23,154,2,8,9,4,6,no,no,no,no,no,no,no,0,23,0.08695652173913043,0.17391304347826086,0.34782608695652173,0.391304347826087,0.5,23
1248,Low,53,11,MiddleAge,frequent,55158.0,418,54740.0,Lower middle,Post graduate,yes,yes,2,1,293,1,0,87,4,11,23,4,7,2,5,7,no,no,no,no,no,no,yes,0,18,0.2222222222222222,0.2777777777777778,0.3888888888888889,0.1111111111111111,0.5833333333333334,18
1249,Low,68,11,Elderly,not frequent,62972.0,602,62370.0,Upper middle,Graduate,yes,yes,1,0,313,1,15,47,20,0,192,2,7,4,3,6,no,no,no,no,no,no,yes,0,16,0.125,0.1875,0.4375,0.25,0.5,16
1250,Upper middle class,48,9,MiddleAge,not frequent,74190.0,722,73468.0,Upper middle,Graduate,yes,yes,1,0,151,1,81,86,168,91,64,2,4,2,11,2,no,no,no,no,no,no,no,0,19,0.10526315789473684,0.5789473684210527,0.21052631578947367,0.10526315789473684,0.16666666666666666,19
1251,Lowest,47,9,MiddleAge,not frequent,39356.0,23,39333.0,Lower middle,Graduate,yes,yes,2,1,15,1,0,2,0,0,6,1,1,0,2,6,yes,no,no,no,no,no,no,1,4,0.25,0.5,0.25,0.0,0.5,4
1252,Upper middle class,54,10,MiddleAge,frequent,76653.0,2342,74311.0,Upper middle,Graduate,yes,no,0,0,736,0,63,946,219,189,126,1,4,7,11,2,no,no,yes,yes,no,no,no,2,23,0.043478260869565216,0.4782608695652174,0.17391304347826086,0.30434782608695654,0.16666666666666666,23
1253,Lowest,50,9,MiddleAge,not frequent,35860.0,49,35811.0,Lower middle,Post graduate,no,no,2,1,15,1,0,8,4,2,20,2,1,1,2,5,yes,no,no,no,no,no,no,1,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.4166666666666667,6
1254,Lower middle,40,10,Young,frequent,90687.0,1796,88891.0,High,Post graduate,no,no,0,0,982,0,17,672,23,34,51,1,6,2,8,2,no,no,yes,no,no,no,yes,1,17,0.058823529411764705,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.16666666666666666,17
1255,Upper middle class,41,10,Young,frequent,73450.0,1855,71595.0,Upper middle,Post graduate,yes,no,0,0,1142,0,51,415,90,69,37,1,7,8,11,3,yes,no,no,yes,no,no,no,2,27,0.037037037037037035,0.4074074074074074,0.25925925925925924,0.2962962962962963,0.25,27
1256,Lowest,63,10,MiddleAge,not frequent,31454.0,48,31406.0,Lower middle,Graduate,yes,yes,2,1,28,1,0,11,0,0,9,3,2,0,3,8,no,no,no,no,no,no,no,0,8,0.375,0.375,0.25,0.0,0.6666666666666666,8
1257,Lowest,71,9,Elderly,not frequent,47139.0,83,47056.0,Lower middle,Graduate,no,no,2,1,46,1,0,12,0,2,23,2,2,1,2,7,no,no,no,no,no,no,yes,0,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.5833333333333334,7
1258,Upper middle class,48,10,MiddleAge,frequent,83829.0,2023,81806.0,Upper middle,Graduate,no,no,0,0,897,0,161,430,186,161,27,0,4,7,6,1,yes,no,yes,yes,no,no,yes,3,17,0.0,0.35294117647058826,0.23529411764705882,0.4117647058823529,0.08333333333333333,17
1259,Low,60,11,MiddleAge,not frequent,53378.0,799,52579.0,Lower middle,Post graduate,yes,yes,2,1,489,1,6,152,8,6,132,10,9,4,6,8,no,no,no,no,no,no,yes,0,29,0.3448275862068966,0.20689655172413793,0.3103448275862069,0.13793103448275862,0.6666666666666666,29
